Model:,EDU-X 1002A,,Time (s),1 (VOLT),
,,,0.14236,0.0313705990556628,
,,,0.1424,0.0177022594725713,
,,,0.14244,0.0112700996687636,
,,,0.14248,0.00966205971781164,
,,,0.14252,0.00724999979138374,
,,,0.14256,-0.00963441969361156,
,,,0.1426,-0.0104384396690875,
,,,0.14264,-0.0120464796200395,
,,,0.14268,-0.0192826593993232,
,,,0.14272,-0.0216947193257511,
,,,0.14276,-0.024106779252179,
,,,0.1428,-0.0216947193257511,
,,,0.14284,-0.0249107992276549,
,,,0.14288,-0.0208906993502751,
,,,0.14292,-0.0160665794974193,
,,,0.14296,-0.0128504995955154,
,,,0.143,-0.00481029984075576,
,,,0.14304,0.00242587993852794,
,,,0.14308,0.00724999979138374,
,,,0.14312,0.0120741196442395,
,,,0.14316,0.0185062794480473,
,,,0.1432,0.0209183393744752,
,,,0.14324,0.0209183393744752,
,,,0.14328,0.025742459227331,
,,,0.14332,0.024134419276379,
,,,0.14336,0.0185062794480473,
,,,0.1434,0.0217223593499511,
,,,0.14344,0.0152901995461434,
,,,0.14348,0.0104660796932876,
,,,0.14352,1.38200121000409E-05,
,,,0.14356,-0.00159421993885189,
,,,0.1436,-0.00481029984075576,
,,,0.14364,-0.0184786394238472,
,,,0.14368,-0.0192826593993232,
,,,0.14372,-0.0249107992276549,
,,,0.14376,-0.0208906993502751,
,,,0.1438,-0.0160665794974193,
,,,0.14384,-0.0192826593993232,
,,,0.14388,-0.023302759276703,
,,,0.14392,-0.0112424596445635,
,,,0.14396,-0.00641833979170769,
,,,0.144,-0.0104384396690875,
,,,0.14404,0.00242587993852794,
,,,0.14408,0.00242587993852794,
,,,0.14412,0.00403391988947988,
,,,0.14416,0.024134419276379,
,,,0.1442,0.0193102994235232,
,,,0.14424,0.0201143193989992,
,,,0.14428,0.0209183393744752,
,,,0.14432,0.024938439251855,
,,,0.14436,0.0177022594725713,
,,,0.1444,0.00885803974233568,
,,,0.14444,0.0217223593499511,
,,,0.14448,0.0128781396197155,
,,,0.14452,0.00403391988947988,
,,,0.14456,-0.00641833979170769,
,,,0.1446,-0.00400627986527979,
,,,0.14464,-0.0160665794974193,
,,,0.14468,-0.023302759276703,
,,,0.14472,-0.0265188391786069,
,,,0.14476,-0.0289308991050348,
,,,0.1448,-0.0216947193257511,
,,,0.14484,-0.0200866793747991,
,,,0.14488,-0.0200866793747991,
,,,0.14492,-0.0128504995955154,
,,,0.14496,-0.0088303997181356,
,,,0.145,-0.0104384396690875,
,,,0.14504,0.00162185996305197,
,,,0.14508,0.00966205971781164,
,,,0.14512,0.0112700996687636,
,,,0.14516,0.0144861795706674,
,,,0.1452,0.0201143193989992,
,,,0.14524,0.0168982394970953,
,,,0.14528,0.024134419276379,
,,,0.14532,0.024134419276379,
,,,0.14536,0.026546479202807,
,,,0.1454,0.0177022594725713,
,,,0.14544,0.0120741196442395,
,,,0.14548,0.00805401976685971,
,,,0.14552,0.00483793986495584,
,,,0.14556,-0.00320225988980383,
,,,0.1456,-0.0152625595219433,
,,,0.14564,-0.00802637974265963,
,,,0.14568,-0.0192826593993232,
,,,0.14572,-0.0152625595219433,
,,,0.14576,-0.0184786394238472,
,,,0.1458,-0.0249107992276549,
,,,0.14584,-0.0281268791295588,
,,,0.14588,-0.0200866793747991,
,,,0.14592,-0.00963441969361156,
,,,0.14596,-0.0152625595219433,
,,,0.146,-0.00159421993885189,
,,,0.14604,0.00242587993852794,
,,,0.14608,0.00724999979138374,
,,,0.14612,0.0120741196442395,
,,,0.14616,0.0152901995461434,
,,,0.1462,0.0144861795706674,
,,,0.14624,0.024134419276379,
,,,0.14628,0.0273504991782829,
,,,0.14632,0.0217223593499511,
,,,0.14636,0.025742459227331,
,,,0.1464,0.0217223593499511,
,,,0.14644,0.0128781396197155,
,,,0.14648,0.0168982394970953,
,,,0.14652,0.00805401976685971,
,,,0.14656,1.38200121000409E-05,
,,,0.1466,-0.0104384396690875,
,,,0.14664,-0.0120464796200395,
,,,0.14668,-0.0160665794974193,
,,,0.14672,-0.0184786394238472,
,,,0.14676,-0.0216947193257511,
,,,0.1468,-0.0265188391786069,
,,,0.14684,-0.0313429590314627,
,,,0.14688,-0.0361670788843185,
,,,0.14692,-0.00722235976718366,
,,,0.14696,-0.0120464796200395,
,,,0.147,-0.00481029984075576,
,,,0.14704,0.0144861795706674,
,,,0.14708,0.00644597981590778,
,,,0.14712,0.00644597981590778,
,,,0.14716,0.0168982394970953,
,,,0.1472,0.0201143193989992,
,,,0.14724,0.026546479202807,
,,,0.14728,0.0273504991782829,
,,,0.14732,0.0369987388839945,
,,,0.14736,0.0193102994235232,
,,,0.1474,0.0168982394970953,
,,,0.14744,0.0185062794480473,
,,,0.14748,0.00805401976685971,
,,,0.14752,0.000817839987576008,
,,,0.14756,-0.00239823991432786,
,,,0.1476,-0.00481029984075576,
,,,0.14764,-0.0104384396690875,
,,,0.14768,-0.0184786394238472,
,,,0.14772,-0.0257148192031309,
,,,0.14776,-0.0216947193257511,
,,,0.1478,-0.022498739301227,
,,,0.14784,-0.023302759276703,
,,,0.14788,-0.0152625595219433,
,,,0.14792,-0.0184786394238472,
,,,0.14796,-0.00722235976718366,
,,,0.148,-0.00481029984075576,
,,,0.14804,0.00162185996305197,
,,,0.14808,0.00805401976685971,
,,,0.14812,0.0104660796932876,
,,,0.14816,0.0201143193989992,
,,,0.1482,0.024134419276379,
,,,0.14824,0.025742459227331,
,,,0.14828,0.0217223593499511,
,,,0.14832,0.0225263793254271,
,,,0.14836,0.0233303993009031,
,,,0.1484,0.0201143193989992,
,,,0.14844,0.0185062794480473,
,,,0.14848,0.0104660796932876,
,,,0.14852,-0.00641833979170769,
,,,0.14856,-0.00481029984075576,
,,,0.1486,-0.00802637974265963,
,,,0.14864,-0.0192826593993232,
,,,0.14868,-0.0144585395464674,
,,,0.14872,-0.023302759276703,
,,,0.14876,-0.0305389390559867,
,,,0.1488,-0.0265188391786069,
,,,0.14884,-0.023302759276703,
,,,0.14888,-0.0168705994728953,
,,,0.14892,-0.0128504995955154,
,,,0.14896,-0.0120464796200395,
,,,0.149,0.00644597981590778,
,,,0.14904,0.00724999979138374,
,,,0.14908,0.00644597981590778,
,,,0.14912,0.0112700996687636,
,,,0.14916,0.0136821595951915,
,,,0.1492,0.0217223593499511,
,,,0.14924,0.0289585391292349,
,,,0.14928,0.025742459227331,
,,,0.14932,0.0193102994235232,
,,,0.14936,0.0217223593499511,
,,,0.1494,0.0112700996687636,
,,,0.14944,0.0112700996687636,
,,,0.14948,0.00885803974233568,
,,,0.14952,0.00403391988947988,
,,,0.14956,-0.000790199963375926,
,,,0.1496,-0.00802637974265963,
,,,0.14964,-0.0136545195709914,
,,,0.14968,-0.022498739301227,
,,,0.14972,-0.024106779252179,
,,,0.14976,-0.0265188391786069,
,,,0.1498,-0.0305389390559867,
,,,0.14984,-0.0249107992276549,
,,,0.14988,-0.0216947193257511,
,,,0.14992,-0.0208906993502751,
,,,0.14996,-0.00963441969361156,
,,,0.15,-0.00641833979170769,
,,,0.15004,-0.00320225988980383,
,,,0.15008,0.00644597981590778,
,,,0.15012,-0.00722235976718366,
,,,0.15016,0.0168982394970953,
,,,0.1502,0.0209183393744752,
,,,0.15024,0.0128781396197155,
,,,0.15028,0.0217223593499511,
,,,0.15032,0.026546479202807,
,,,0.15036,0.0193102994235232,
,,,0.1504,0.0193102994235232,
,,,0.15044,0.00805401976685971,
,,,0.15048,0.00885803974233568,
,,,0.15052,0.00564195984043181,
,,,0.15056,0.00483793986495584,
,,,0.1506,-0.00561431981623173,
,,,0.15064,-0.00400627986527979,
,,,0.15068,-0.023302759276703,
,,,0.15072,-0.024106779252179,
,,,0.15076,-0.0297349190805107,
,,,0.1508,-0.0088303997181356,
,,,0.15084,-0.0208906993502751,
,,,0.15088,-0.0249107992276549,
,,,0.15092,-0.0208906993502751,
,,,0.15096,-0.0088303997181356,
,,,0.151,-0.00802637974265963,
,,,0.15104,0.00564195984043181,
,,,0.15108,0.0120741196442395,
,,,0.15112,0.0168982394970953,
,,,0.15116,0.0160942195216194,
,,,0.1512,0.026546479202807,
,,,0.15124,0.0233303993009031,
,,,0.15128,0.0201143193989992,
,,,0.15132,0.024938439251855,
,,,0.15136,0.0193102994235232,
,,,0.1514,0.0152901995461434,
